Total Topis : 

Topic0: number(0.066188) ritualisation(0.039884) points(0.019944) activity(0.016126) sinclair(0.014005) numbers(0.013156) thinking(0.013156) structured(0.013156) touching(0.012308) hundred(0.011883)
Topic50: language(0.119488) mathematics(0.026674) languages(0.026674) meaning(0.020984) resource(0.020273) learners(0.018495) learning(0.01814) culture(0.017784) discourses(0.014939) tensions(0.014583)

Topic51: selfefficacy(0.064185) students(0.036584) competence(0.036251) effects(0.034256) multiple(0.033591) problems(0.03226) solutions(0.031595) perceived(0.02827) teaching(0.026275) mathematical(0.024612)

Topic52: classroom(0.050196) number(0.034644) students(0.032523) teachers(0.024393) practices(0.022979) mathematics(0.020858) instruction(0.018384) textbook(0.018031) ritual(0.016617) teaching(0.01591)

Topic53: analysis(0.023034) drawing(0.020356) interview(0.019284) discussion(0.015803) process(0.012857) that’s(0.010983) shared(0.010447) explain(0.010447) pointing(0.010179) previous(0.009911)

Topic54: children’s(0.047125) children(0.046708) mathematical(0.033781) worthington(0.017518) language(0.016684) contexts(0.014182) symbolic(0.014182) nursery(0.014182) abstraction(0.01168) cultural(0.009178)

Topic55: series(0.068018) teachers’(0.029426) textbook(0.02828) teachers(0.025987) personal(0.022166) content(0.021402) teaching(0.016816) documentation(0.016434) resource(0.014524) applications(0.012995)

Topic56: identity(0.070509) identities(0.043036) studies(0.026503) social(0.023586) listening(0.013861) method(0.011429) students’(0.0107) defining(0.009241) dimensions(0.008998) education(0.008269)

Topic57: modeling(0.054912) mathematical(0.040083) students(0.02365) france(0.020043) modelling(0.01844) german(0.017639) mathematics(0.015635) germany(0.015635) students’(0.015234) situation(0.015234)

Topic58: explanations(0.063113) explanation(0.058669) students(0.050669) student(0.033781) teacher(0.032448) interaction(0.024892) answer(0.023115) interactional(0.01867) question(0.016004) explicitly(0.014226)

Topic59: perimeter(0.058727) blending(0.027688) students(0.026429) process(0.025171) infinite(0.024752) spaces(0.023074) blended(0.020138) students’(0.019299) infinity(0.01846) conceptual(0.016363)

Topic60: generalization(0.06537) pattern(0.038945) reasoning(0.033034) grades(0.026428) student(0.024342) levels(0.023647) progression(0.019474) students(0.018779) figural(0.017388) generalizations(0.016345)

Topic61: mathematical(0.052671) thinking(0.05195) curriculum(0.050868) assessment(0.038242) examination(0.035356) reform(0.034635) regular(0.031749) assignments(0.019844) papers(0.017319) students(0.016598)

Topic62: operation(0.052163) binary(0.047876) operations(0.0343) critical(0.028227) students(0.028227) metaphors(0.025012) arithmetic(0.015008) attributes(0.014294) function(0.013937) aspects(0.013579)

Topic63: movements(0.038744) geometry(0.030996) processes(0.026154) mental(0.023248) schindler(0.019374) lilienthal(0.017437) problem(0.016953) interpretation(0.015985) recall(0.012111) movement(0.012111)

Topic64: proofs(0.056482) explanatory(0.054293) individual(0.02496) algebraic(0.019268) explanation(0.016203) argument(0.015328) theorem(0.014014) explain(0.011825) inferential(0.011387) enumerative(0.011387)

Topic65: scaling(0.025135) innovations(0.023366) innovation(0.020888) motivation(0.017348) regional(0.016286) krainer(0.015224) factors(0.015224) competence(0.013454) initiative(0.0131) austria(0.012393)

Topic66: mathematics(0.04071) students(0.039235) teacher(0.029796) discourses(0.022126) problem(0.017112) reform(0.016227) student(0.014162) school(0.012392) practices(0.012097) teachers(0.011802)

Topic67: problem(0.101326) solving(0.066801) mathematical(0.064299) problems(0.053041) studies(0.035528) papers(0.031525) school(0.030775) thinking(0.027773) students’(0.025271) primary(0.019267)

Topic68: pupils(0.050855) fractions(0.046262) fraction(0.034779) problem(0.033139) reasoning(0.029202) problems(0.027233) partwhole(0.022312) number(0.021656) subconstruct(0.018704) congruency(0.014767)

Topic69: however(0.01778) example(0.013417) students(0.013219) specific(0.010873) context(0.00932) general(0.007832) question(0.007271) understand(0.007138) aspects(0.007072) considered(0.006676)

